video_path,prompt,clip_score
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A white horse galloping on the grass_zoomed_out.mp4,A white horse galloping on the grass_zoomed_out,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A black cat walking on the grass moving from left to right_zoomed_out.mp4,A black cat walking on the grass moving from left to right_zoomed_out,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A black cat walking on the grass moving in a place_zoomed_out.mp4,A black cat walking on the grass moving in a place_zoomed_out,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A black cat walking on the grass moving just a little_zoomed_out.mp4,A black cat walking on the grass moving just a little_zoomed_out,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A colorful parrot walking on the beach - L shape_zoomed_out.mp4,A colorful parrot walking on the beach - L shape_zoomed_out,0.38
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A colorful parrot walking on the sand - L shape_zoomed_out.mp4,A colorful parrot walking on the sand - L shape_zoomed_out,0.37
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A colorful parrot walking on the snow - L shape_zoomed_out.mp4,A colorful parrot walking on the snow - L shape_zoomed_out,0.4
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A dog jumping on the beach_zoomed_out.mp4,A dog jumping on the beach_zoomed_out,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A dog jumping on the grass moving from top right to bottom right_zoomed_out.mp4,A dog jumping on the grass moving from top right to bottom right_zoomed_out,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A dog jumping on the sand_zoomed_out.mp4,A dog jumping on the sand_zoomed_out,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Dataset/ZOOM_OUT/A dog jumping on the snow_zoomed_out.mp4,A dog jumping on the snow_zoomed_out,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A black cat walking on the grass moving from left to right/A black cat walking on the grass moving from left to right_0417_1612.mp4,A black cat walking on the grass moving from left to right_0417_1612,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A black cat walking on the grass moving from left to right/A white dog is walking on the grass moving from left to right_0417_1614.mp4,A white dog is walking on the grass moving from left to right_0417_1614,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A fish swimming in the ocean- right to left/A Fish swimming in the ocean - Right to Left.mp4,A Fish swimming in the ocean - Right to Left,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A fish swimming in the ocean- right to left/outputs/a blue whale is swimming in the ocean_0407_0156.mp4,a blue whale is swimming in the ocean_0407_0156,0.23
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A fish swimming in the ocean- right to left/outputs/a shark is swimming in the ocean_0407_0153_8.mp4,a shark is swimming in the ocean_0407_0153_8,0.26
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A fish swimming in the ocean- right to left/outputs/a tortoise is swimming in the ocean_0407_0158.mp4,a tortoise is swimming in the ocean_0407_0158,0.28
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A fish swimming in the ocean- right to left/outputs/an octopus is swimming in the ocean_0407_0148_8.mp4,an octopus is swimming in the ocean_0407_0148_8,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A white cat walking on grass from top left to bottom right with zoom in/A white cat walking on the grass - TL to BR_zoomed_in.mp4,A white cat walking on the grass - TL to BR_zoomed_in,0.36
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A white cat walking on grass from top left to bottom right with zoom in/outputs/A tiger walking on grass from top left to bottom right with zoom in_4.mp4,A tiger walking on grass from top left to bottom right with zoom in_4,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A white cat walking on grass from top left to bottom right with zoom in/outputs/A white cat walking on grass from top left to bottom right with zoom in_4.mp4,A white cat walking on grass from top left to bottom right with zoom in_4,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Final Outputs/A white cat walking on grass from top left to bottom right with zoom in/outputs/A zebra walking on grass from top left to bottom right with zoom in_4.mp4,A zebra walking on grass from top left to bottom right with zoom in_4,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A horse galloping on the grass - Going Crazy.mp4,A horse galloping on the grass - Going Crazy,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - BL to TR.mp4,A white cat walking on the grass - BL to TR,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - L shape.mp4,A white cat walking on the grass - L shape,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - L to R.mp4,A white cat walking on the grass - L to R,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - small movement.mp4,A white cat walking on the grass - small movement,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - stationary animation.mp4,A white cat walking on the grass - stationary animation,0.36
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - TL to BR.mp4,A white cat walking on the grass - TL to BR,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat walking on the grass - TR to BL.mp4,A white cat walking on the grass - TR to BL,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A dog jumping on the grass/A dog jumping on the grass - Random Path.mp4,A dog jumping on the grass - Random Path,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A dog jumping on the grass/Step 3 _ Tune A Video/A cat jumping on the grass_4.mp4,A cat jumping on the grass_4,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/A white cat walking on the grass - random path.mp4,A white cat walking on the grass - random path,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/Step 2/white cat on the grass.mp4,white cat on the grass,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/Step 3/A car is running on the grass_0416_0152.mp4,A car is running on the grass_0416_0152,0.28
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/Step 3/A cow is walking on the grass_0416_0153.mp4,A cow is walking on the grass_0416_0153,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/Step 3/A tiger is walking on the grass_0415_2045.mp4,A tiger is walking on the grass_0415_2045,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/A white cat is walking on the grass/Step 3/A yello duck is walking on the grass_0415_2057.mp4,A yello duck is walking on the grass_0415_2057,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/black cat on the grass(1).mp4,black cat on the grass(1),0.28
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/black cat on the grass(2).mp4,black cat on the grass(2),0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/black cat on the grass.mp4,black cat on the grass,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/black cat on the snow (1).mp4,black cat on the snow (1),0.21
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/black cat on the snow.mp4,black cat on the snow,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/golden dog on the grass.mp4,golden dog on the grass,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/purple horse on the grass.mp4,purple horse on the grass,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/rainbow cat on the grass.mp4,rainbow cat on the grass,0.28
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/red cat on the grass.mp4,red cat on the grass,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Step 2 - Hiep/white cat on the grass.mp4,white cat on the grass,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Tune-A-Video Other Experiments/mallard/A duck is swimming in the water_4.mp4,A duck is swimming in the water_4,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Tune-A-Video Other Experiments/mallard/A fish is swimming in the water_4.mp4,A fish is swimming in the water_4,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Tune-A-Video Other Experiments/mallard/A white swan is swimming in the water_4.mp4,A white swan is swimming in the water_4,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Tune-A-Video Other Experiments/mallard/A yellow duck is swimming in the water_4.mp4,A yellow duck is swimming in the water_4,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Tune-A-Video Other Experiments/mallard/original_mallard-water.mp4,original_mallard-water,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A white cat walking on the grass - random path_zoomed_in.mp4,A white cat walking on the grass - random path_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A dog jumping on the grass - Random Path_zoomed_in.mp4,A dog jumping on the grass - Random Path_zoomed_in,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A horse galloping on the grass - Going Crazy_zoomed_in.mp4,A horse galloping on the grass - Going Crazy_zoomed_in,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - BL to TR_zoomed_in.mp4,A white cat walking on the grass - BL to TR_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - L shape_zoomed_in.mp4,A white cat walking on the grass - L shape_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - L to R_zoomed_in.mp4,A white cat walking on the grass - L to R_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - small movement_zoomed_in.mp4,A white cat walking on the grass - small movement_zoomed_in,0.35
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - stationary animation_zoomed_in.mp4,A white cat walking on the grass - stationary animation_zoomed_in,0.38
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - TL to BR_zoomed_in.mp4,A white cat walking on the grass - TL to BR_zoomed_in,0.36
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/A/A white cat walking on the grass - TR to BL_zoomed_in.mp4,A white cat walking on the grass - TR to BL_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass(1)_zoomed_in.mp4,Copy of black cat on the grass(1)_zoomed_in,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass(2)_zoomed_in.mp4,Copy of black cat on the grass(2)_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the grass_zoomed_in.mp4,Copy of black cat on the grass_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of black cat on the snow (1)_zoomed_in.mp4,Copy of black cat on the snow (1)_zoomed_in,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of golden dog on the grass_zoomed_in.mp4,Copy of golden dog on the grass_zoomed_in,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of purple horse on the grass_zoomed_in.mp4,Copy of purple horse on the grass_zoomed_in,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of rainbow cat on the grass_zoomed_in.mp4,Copy of rainbow cat on the grass_zoomed_in,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of red cat on the grass_zoomed_in.mp4,Copy of red cat on the grass_zoomed_in,0.25
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/B/Copy of white cat on the grass_zoomed_in.mp4,Copy of white cat on the grass_zoomed_in,0.34
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A car is running on the grass_0416_0152_zoomed_in.mp4,Copy of Copy of A car is running on the grass_0416_0152_zoomed_in,0.3
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A cow is walking on the grass_0416_0153_zoomed_in.mp4,Copy of Copy of A cow is walking on the grass_0416_0153_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A tiger is walking on the grass_0415_2045_zoomed_in.mp4,Copy of Copy of A tiger is walking on the grass_0415_2045_zoomed_in,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Longer Videos/Zoom_in/C/Copy of Copy of A yello duck is walking on the grass_0415_2057_zoomed_in.mp4,Copy of Copy of A yello duck is walking on the grass_0415_2057_zoomed_in,0.34
"/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/A butterfly fluttered from flower to flower, pollinating as it went._04061746_4.mp4","A butterfly fluttered from flower to flower, pollinating as it went._04061746_4",0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/a macro video of a bee pollinating a flower_04061754_8.mp4,a macro video of a bee pollinating a flower_04061754_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/bees/a macro video of a white butterfly pollinating a flower_04061757_8.mp4,a macro video of a white butterfly pollinating a flower_04061757_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A California Sheephead is swimming in a coral reef_3.mp4,A California Sheephead is swimming in a coral reef_3,0.32
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A dolphine is swimming in a coral reef_3.mp4,A dolphine is swimming in a coral reef_3,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A shark is swimming in a coral reef_3.mp4,A shark is swimming in a coral reef_3,0.33
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/clown_fish/A tortoise is swimming in a coral reef_3.mp4,A tortoise is swimming in a coral reef_3,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/fish_br_tl/a clown fish is swimming in a sea_0407_0045_8.mp4,a clown fish is swimming in a sea_0407_0045_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 2 - Tune-A-Video/horse/a zebra is galloping on a street_04061955_8.mp4,a zebra is galloping on a street_04061955_8,0.31
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/rainbow_horse.mp4,rainbow_horse,0.27
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/white_cat.mp4,white_cat,0.29
/media/namrata/NAMRATA/Independent Study/Video-Generation-Independent-Study3/dataset/Step 3 - Text2LIVE/white_cat_on_the_ocean.mp4,white_cat_on_the_ocean,0.32
